detid,lat,long
E1_bottom3D0_1,1101.6,170.0
E1_bottom4E0_0,1404.8,170.0
E1_bottom4E0_1,1401.6,170.0
E1_bottom5F0_0,1704.8,170.0
E1_bottom5F0_1,1701.6,170.0
E1_bottom6G0_0,2004.8,170.0
E1_bottom6G0_1,2001.6,170.0
E1_bottom7H0_0,2304.8,170.0
E1_bottom7H0_1,2301.6,170.0
E1_bottom8I0_0,2604.8,170.0
E1_bottom8I0_1,2601.6,170.0
E1_left0A0_0,170.0,195.2
E1_left0A0_1,170.0,198.4
E1_left11A11_0,170.0,2945.2
E1_left11A11_1,170.0,2948.4
E1_left1A1_0,170.0,445.2
E1_left1A1_1,170.0,448.4
E1_left3A3_0,170.0,945.2
E1_left3A3_1,170.0,948.4
E1_left4A4_0,170.0,1195.2
E1_left4A4_1,170.0,1198.4
E1_left5A5_0,170.0,1445.2
E1_left5A5_1,170.0,1448.4
E1_left7A7_0,170.0,1945.2
E1_left7A7_1,170.0,1948.4
E1_left9A9_0,170.0,2445.2
E1_left9A9_1,170.0,2448.4
E1_right0I0_0,2630.0,204.8
E1_right0I0_1,2630.0,201.6
E1_right11I11_0,2630.0,2954.8
E1_right11I11_1,2630.0,2951.6
E1_right1I1_0,2630.0,454.8
E1_right1I1_1,2630.0,451.6
E1_right2I2_0,2630.0,704.8
E1_right2I2_1,2630.0,701.6
E1_right3I3_0,2630.0,954.8
E1_right3I3_1,2630.0,951.6
E1_right4I4_0,2630.0,1204.8
E1_right4I4_1,2630.0,1201.6
E1_right6I6_0,2630.0,1704.8
E1_right6I6_1,2630.0,1701.6
E1_right7I7_0,2630.0,1954.8
E1_right7I7_1,2630.0,1951.6
E1_right8I8_0,2630.0,2204.8
E1_right8I8_1,2630.0,2201.6
E1_right9I9_0,2630.0,2454.8
E1_right9I9_1,2630.0,2451.6
E1_top0A11_0,195.2,2980.0
E1_top0A11_1,198.4,2980.0
E1_top1B11_0,495.2,2980.0
E1_top1B11_1,498.4,2980.0
E1_top3D11_0,1095.2,2980.0
E1_top3D11_1,1098.4,2980.0
E1_top4E11_0,1395.2,2980.0
E1_top4E11_1,1398.4,2980.0
E1_top5F11_0,1695.2,2980.0
E1_top5F11_1,1698.4,2980.0
