detid,flow,speed,occ,density,interval,length,pos
E1_A10A9_1,72.0,11.81,1.63,3.26,900.0,229.2,209.0
E1_A10B10_0,96.0,12.37,1.16,2.32,900.0,279.2,259.0
E1_A10B10_1,0.0,-1.0,0.0,-0.0,900.0,279.2,259.0
E1_A10left10_0,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_A10left10_1,24.0,14.61,0.23,0.45999999999999996,900.0,189.6,170.0
E1_A11A10_0,60.0,13.23,0.64,1.28,900.0,229.2,209.0
E1_A11A10_1,84.0,12.61,1.02,2.04,900.0,229.2,209.0
E1_A11B11_0,96.0,11.98,1.19,2.38,900.0,279.2,259.0
E1_A11B11_1,0.0,-1.0,0.0,-0.0,900.0,279.2,259.0
E1_A11left11_0,12.0,12.09,0.14,0.28,900.0,189.6,170.0
E1_A11left11_1,24.0,12.76,0.26,0.52,900.0,189.6,170.0
E1_A11top0_0,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_A11top0_1,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_A1A0_0,24.0,12.36,0.27,0.54,900.0,229.2,209.0
E1_A1A0_1,60.0,12.17,0.77,1.54,900.0,229.2,209.0
E1_A1A2_0,120.0,10.53,2.77,5.540000000000001,900.0,229.2,209.0
E1_A1A2_1,12.0,12.18,0.14,0.28,900.0,229.2,209.0
E1_A1B1_0,84.0,12.74,0.92,1.8399999999999999,900.0,279.2,259.0
E1_A1B1_1,36.0,14.83,0.34,0.68,900.0,279.2,259.0
E1_A1left1_0,36.0,13.82,0.36,0.72,900.0,189.6,170.0
E1_A1left1_1,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_A2A1_0,120.0,13.2,1.27,2.54,900.0,229.2,209.0
E1_A2A1_1,132.0,12.18,1.59,3.18,900.0,229.2,209.0
E1_A2A3_0,180.0,11.92,2.2,4.4,900.0,229.2,209.0
E1_A2A3_1,48.0,12.74,0.53,1.06,900.0,229.2,209.0
E1_A2B2_0,84.0,11.66,1.07,2.14,900.0,279.2,259.0
E1_A2B2_1,84.0,13.36,0.88,1.7599999999999998,900.0,279.2,259.0
E1_A2left2_0,24.0,12.87,0.26,0.52,900.0,189.6,170.0
E1_A2left2_1,24.0,12.38,0.27,0.54,900.0,189.6,170.0
E1_A3A2_0,144.0,11.88,2.28,4.56,900.0,229.2,209.0
E1_A3A2_1,84.0,11.82,3.79,7.58,900.0,229.2,209.0
E1_A3A4_0,180.0,10.28,5.59,11.18,900.0,229.2,209.0
E1_A3A4_1,84.0,10.16,1.27,2.54,900.0,229.2,209.0
E1_A3B3_0,120.0,12.95,1.3,2.6,900.0,279.2,259.0
E1_A3B3_1,72.0,13.23,0.76,1.52,900.0,279.2,259.0
E1_A3left3_0,24.0,14.41,0.23,0.45999999999999996,900.0,189.6,170.0
E1_A3left3_1,24.0,12.78,0.26,0.52,900.0,189.6,170.0
E1_A4A3_0,72.0,11.8,0.93,1.8599999999999999,900.0,229.2,209.0
E1_A4A3_1,180.0,11.63,2.31,4.62,900.0,229.2,209.0
E1_A4B4_0,96.0,11.66,1.21,2.42,900.0,279.2,259.0
E1_A4B4_1,84.0,9.19,3.11,6.22,900.0,279.2,259.0
E1_A4left4_0,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_A4left4_1,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_A5A4_0,132.0,10.37,2.4,4.8,900.0,229.2,209.0
E1_A5A4_1,144.0,8.8,7.8,15.600000000000001,900.0,229.2,209.0
E1_A5B5_0,84.0,10.84,1.63,3.26,900.0,279.2,259.0
E1_A5B5_1,132.0,12.41,1.56,3.12,900.0,279.2,259.0
E1_A5left5_0,12.0,14.13,0.12,0.24,900.0,189.6,170.0
E1_A5left5_1,36.0,13.67,0.37,0.74,900.0,189.6,170.0
E1_A6A5_0,168.0,12.57,1.95,3.9000000000000004,900.0,229.2,209.0
E1_A6A5_1,132.0,11.32,4.29,8.58,900.0,229.2,209.0
E1_A6B6_0,120.0,13.21,1.33,2.66,900.0,279.2,259.0
E1_A6B6_1,36.0,11.91,0.47,0.94,900.0,279.2,259.0
E1_A6left6_0,24.0,13.54,0.25,0.5,900.0,189.6,170.0
E1_A6left6_1,12.0,12.66,0.13,0.26,900.0,189.6,170.0
E1_A7A8_0,144.0,12.36,4.64,9.28,900.0,229.2,209.0
E1_A7A8_1,108.0,11.42,1.37,2.74,900.0,229.2,209.0
E1_A7B7_0,96.0,11.07,1.3,2.6,900.0,279.2,259.0
E1_A7B7_1,24.0,9.01,0.42,0.8399999999999999,900.0,279.2,259.0
E1_A7left7_0,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_A7left7_1,48.0,12.54,0.54,1.08,900.0,189.6,170.0
E1_A8B8_0,108.0,10.49,2.78,5.56,900.0,279.2,259.0
E1_A8B8_1,60.0,10.33,0.94,1.88,900.0,279.2,259.0
E1_A8left8_0,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_A8left8_1,36.0,13.02,0.39,0.78,900.0,189.6,170.0
E1_A9B9_0,144.0,12.93,1.55,3.1,900.0,279.2,259.0
E1_A9B9_1,48.0,12.17,0.55,1.1,900.0,279.2,259.0
E1_A9left9_0,24.0,13.45,0.25,0.5,900.0,189.6,170.0
E1_A9left9_1,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_B0B1_0,72.0,10.48,1.01,2.02,900.0,229.2,209.0
E1_B0B1_1,36.0,13.36,0.38,0.76,900.0,229.2,209.0
E1_B10A10_0,36.0,12.62,0.4,0.8,900.0,279.2,259.0
E1_B10A10_1,60.0,12.79,0.66,1.32,900.0,279.2,259.0
E1_B10B11_0,72.0,11.37,0.95,1.9,900.0,229.2,209.0
E1_B10B11_1,48.0,12.87,0.52,1.04,900.0,229.2,209.0
E1_B10B9_0,108.0,12.5,1.29,2.58,900.0,229.2,209.0
E1_B10B9_1,108.0,10.71,1.51,3.02,900.0,229.2,209.0
E1_B10C10_0,96.0,9.74,2.76,5.52,900.0,279.2,259.0
E1_B10C10_1,72.0,6.74,2.78,5.56,900.0,279.2,259.0
E1_B11B10_0,96.0,11.06,1.34,2.68,900.0,229.2,209.0
E1_B11B10_1,96.0,11.09,1.34,2.68,900.0,229.2,209.0
E1_B11top1_0,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_B11top1_1,12.0,11.99,0.14,0.28,900.0,189.6,170.0
E1_B1A1_0,96.0,12.64,1.07,2.14,900.0,279.2,259.0
E1_B1A1_1,0.0,-1.0,0.0,-0.0,900.0,279.2,259.0
E1_B1B0_0,108.0,10.78,8.04,16.08,900.0,229.2,209.0
E1_B1B0_1,144.0,11.8,1.79,3.58,900.0,229.2,209.0
E1_B1B2_0,144.0,11.34,2.03,4.06,900.0,229.2,209.0
E1_B1B2_1,108.0,12.25,1.33,2.66,900.0,229.2,209.0
E1_B2A2_0,96.0,12.27,1.09,2.18,900.0,279.2,259.0
E1_B2A2_1,48.0,10.98,0.68,1.36,900.0,279.2,259.0
E1_B2B1_0,120.0,11.18,1.79,3.58,900.0,229.2,209.0
E1_B2B1_1,120.0,11.15,2.03,4.06,900.0,229.2,209.0
E1_B2B3_0,168.0,10.97,6.28,12.56,900.0,229.2,209.0
E1_B2B3_1,72.0,10.21,1.1,2.2,900.0,229.2,209.0
E1_B2C2_0,132.0,12.49,1.55,3.1,900.0,279.2,259.0
E1_B2C2_1,72.0,10.05,1.06,2.12,900.0,279.2,259.0
E1_B3A3_0,120.0,10.46,1.77,3.54,900.0,279.2,259.0
E1_B3A3_1,108.0,11.71,1.31,2.62,900.0,279.2,259.0
E1_B3B2_0,144.0,12.04,2.08,4.16,900.0,229.2,209.0
E1_B3B2_1,84.0,11.15,1.11,2.22,900.0,229.2,209.0
E1_B3B4_0,144.0,11.27,2.82,5.64,900.0,229.2,209.0
E1_B3B4_1,36.0,9.93,0.61,1.22,900.0,229.2,209.0
E1_B3C3_0,180.0,9.14,11.08,22.160000000000004,900.0,279.2,259.0
E1_B3C3_1,216.0,6.69,12.1,24.2,900.0,279.2,259.0
E1_B4B3_0,60.0,11.07,0.82,1.6399999999999997,900.0,229.2,209.0
E1_B4B3_1,84.0,11.35,1.1,2.2,900.0,229.2,209.0
E1_B4B5_0,180.0,11.41,5.53,11.06,900.0,229.2,209.0
E1_B4B5_1,84.0,12.13,1.04,2.08,900.0,229.2,209.0
E1_B4C4_0,132.0,10.06,9.17,18.34,900.0,279.2,259.0
E1_B4C4_1,72.0,6.37,7.97,15.939999999999998,900.0,279.2,259.0
E1_B5A5_0,96.0,11.14,1.33,2.66,900.0,279.2,259.0
E1_B5A5_1,108.0,12.22,1.31,2.62,900.0,279.2,259.0
E1_B5B4_0,120.0,12.05,1.52,3.04,900.0,229.2,209.0
E1_B5B4_1,84.0,9.48,1.41,2.82,900.0,229.2,209.0
E1_B5B6_0,240.0,8.73,7.96,15.920000000000002,900.0,229.2,209.0
E1_B5B6_1,108.0,10.57,1.89,3.7800000000000002,900.0,229.2,209.0
E1_B5C5_0,156.0,10.35,2.5,5.0,900.0,279.2,259.0
E1_B5C5_1,156.0,9.12,5.69,11.38,900.0,279.2,259.0
E1_B6A6_0,60.0,12.64,0.66,1.32,900.0,279.2,259.0
E1_B6A6_1,60.0,13.81,0.61,1.22,900.0,279.2,259.0
E1_B6B5_0,96.0,11.55,1.23,2.46,900.0,229.2,209.0
E1_B6B5_1,96.0,11.87,1.21,2.42,900.0,229.2,209.0
E1_B6B7_0,180.0,10.85,2.91,5.82,900.0,229.2,209.0
E1_B6B7_1,144.0,10.64,2.48,4.96,900.0,229.2,209.0
E1_B6C6_0,120.0,10.05,1.9,3.8,900.0,279.2,259.0
E1_B6C6_1,144.0,9.77,4.73,9.46,900.0,279.2,259.0
E1_B7A7_0,60.0,12.68,0.66,1.32,900.0,279.2,259.0
E1_B7A7_1,96.0,10.32,1.41,2.82,900.0,279.2,259.0
E1_B7B6_0,72.0,11.58,0.94,1.88,900.0,229.2,209.0
E1_B7B6_1,84.0,12.03,1.05,2.1,900.0,229.2,209.0
E1_B8B7_0,96.0,13.4,1.01,2.02,900.0,229.2,209.0
E1_B8B7_1,132.0,13.45,1.4,2.8,900.0,229.2,209.0
E1_B8B9_0,192.0,11.9,8.27,16.54,900.0,229.2,209.0
E1_B8B9_1,120.0,9.5,2.56,5.12,900.0,229.2,209.0
E1_B8C8_0,192.0,11.83,2.52,5.04,900.0,279.2,259.0
E1_B8C8_1,120.0,12.27,1.37,2.74,900.0,279.2,259.0
E1_B9A9_0,48.0,12.44,0.54,1.08,900.0,279.2,259.0
E1_B9A9_1,72.0,11.88,0.9,1.7999999999999998,900.0,279.2,259.0
E1_B9B10_0,120.0,11.06,5.81,11.62,900.0,229.2,209.0
E1_B9B10_1,108.0,11.3,1.41,2.82,900.0,229.2,209.0
E1_B9B8_0,120.0,11.61,2.72,5.44,900.0,229.2,209.0
E1_B9B8_1,192.0,11.19,7.69,15.38,900.0,229.2,209.0
E1_C0B0_0,108.0,11.04,1.47,2.94,900.0,279.2,259.0
E1_C0B0_1,36.0,12.65,0.4,0.8,900.0,279.2,259.0
E1_C0C1_0,144.0,12.29,1.66,3.3199999999999994,900.0,229.2,209.0
E1_C0C1_1,60.0,12.35,0.7,1.4,900.0,229.2,209.0
E1_C0D0_0,132.0,11.4,4.37,8.74,900.0,279.2,259.0
E1_C0D0_1,72.0,9.51,2.25,4.5,900.0,279.2,259.0
E1_C0bottom2_0,0.0,-1.0,0.0,-0.0,900.0,189.6,170.0
E1_C0bottom2_1,24.0,12.59,0.27,0.54,900.0,189.6,170.0
E1_C10B10_0,72.0,14.2,0.76,1.52,900.0,279.2,259.0
E1_C10B10_1,60.0,13.02,0.65,1.3,900.0,279.2,259.0
E1_C10C11_0,60.0,12.63,0.66,1.32,900.0,229.2,209.0
E1_C10C11_1,12.0,14.04,0.12,0.24,900.0,229.2,209.0
E1_C10C9_0,192.0,10.98,3.42,6.84,900.0,229.2,209.0
E1_C10C9_1,120.0,10.81,1.71,3.42,900.0,229.2,209.0
E1_C10D10_0,120.0,10.5,2.81,5.620000000000001,900.0,279.2,259.0
E1_C10D10_1,132.0,10.1,4.6,9.2,900.0,279.2,259.0
E1_C11B11_0,36.0,12.64,0.4,0.8,900.0,279.2,259.0
E1_C11B11_1,48.0,12.26,0.63,1.26,900.0,279.2,259.0
E1_C11D11_0,144.0,10.96,3.73,7.46,900.0,279.2,259.0
E1_C11D11_1,12.0,12.11,0.14,0.28,900.0,279.2,259.0
E1_C11top2_0,24.0,14.11,0.24,0.48,900.0,189.6,170.0
E1_C11top2_1,12.0,11.48,0.15,0.3,900.0,189.6,170.0
E1_C1B1_0,144.0,9.94,2.39,4.78,900.0,279.2,259.0
E1_C1B1_1,84.0,11.69,1.15,2.3,900.0,279.2,259.0
E1_C1C0_0,36.0,13.67,0.37,0.74,900.0,229.2,209.0
E1_C1C0_1,108.0,12.41,5.58,11.16,900.0,229.2,209.0
E1_C1C2_0,156.0,10.8,2.28,4.56,900.0,229.2,209.0
E1_C1C2_1,60.0,10.5,0.85,1.6999999999999997,900.0,229.2,209.0
E1_C1D1_0,132.0,11.92,1.69,3.38,900.0,279.2,259.0
E1_C1D1_1,132.0,8.68,9.25,18.5,900.0,279.2,259.0
E1_C2B2_0,108.0,10.99,1.42,2.84,900.0,279.2,259.0
E1_C2B2_1,108.0,10.46,1.97,3.9400000000000004,900.0,279.2,259.0
E1_C2C1_0,84.0,12.13,1.04,2.08,900.0,229.2,209.0
E1_C2C1_1,192.0,10.55,5.21,10.42,900.0,229.2,209.0
E1_C2C3_0,192.0,10.92,2.69,5.380000000000001,900.0,229.2,209.0
E1_C2C3_1,72.0,11.91,0.92,1.8399999999999999,900.0,229.2,209.0
E1_C2D2_0,60.0,11.65,0.72,1.44,900.0,279.2,259.0
E1_C2D2_1,60.0,10.08,0.95,1.9,900.0,279.2,259.0
E1_C3B3_0,204.0,9.56,7.47,14.94,900.0,279.2,259.0
E1_C3B3_1,132.0,9.53,3.19,6.38,900.0,279.2,259.0
E1_C3D3_0,300.0,9.69,14.65,29.3,900.0,279.2,259.0
E1_C3D3_1,288.0,11.64,3.74,7.48,900.0,279.2,259.0
E1_C4B4_0,84.0,13.26,0.97,1.94,900.0,279.2,259.0
E1_C4B4_1,48.0,11.55,0.6,1.2,900.0,279.2,259.0
E1_C4C3_0,288.0,10.62,17.89,35.78,900.0,229.2,209.0
E1_C4C3_1,372.0,7.89,26.12,52.24,900.0,229.2,209.0
E1_C4D4_0,132.0,9.3,7.28,14.559999999999999,900.0,279.2,259.0
E1_C4D4_1,96.0,10.42,1.67,3.34,900.0,279.2,259.0
E1_C5B5_0,156.0,9.02,11.2,22.4,900.0,279.2,259.0
E1_C5B5_1,156.0,9.18,11.23,22.46,900.0,279.2,259.0
E1_C5C4_0,324.0,9.14,14.83,29.660000000000004,900.0,229.2,209.0
E1_C5C4_1,336.0,8.14,26.01,52.019999999999996,900.0,229.2,209.0
E1_C5C6_0,408.0,9.72,12.15,24.3,900.0,229.2,209.0
E1_C5C6_1,276.0,8.97,21.38,42.76,900.0,229.2,209.0
E1_C5D5_0,204.0,11.58,2.62,5.24,900.0,279.2,259.0
E1_C5D5_1,72.0,13.57,0.82,1.6399999999999997,900.0,279.2,259.0
E1_C6C5_0,348.0,8.95,22.07,44.14,900.0,229.2,209.0
E1_C6C5_1,312.0,8.53,28.01,56.02,900.0,229.2,209.0
E1_C6C7_0,312.0,8.5,30.57,61.14,900.0,229.2,209.0
E1_C6C7_1,252.0,7.87,24.02,48.040000000000006,900.0,229.2,209.0
E1_C6D6_0,192.0,11.7,2.45,4.9,900.0,279.2,259.0
E1_C6D6_1,192.0,12.47,2.41,4.82,900.0,279.2,259.0
E1_C7B7_0,108.0,11.32,1.4,2.8,900.0,279.2,259.0
E1_C7B7_1,24.0,12.67,0.27,0.54,900.0,279.2,259.0
E1_C7C6_0,348.0,10.41,17.11,34.22,900.0,229.2,209.0
E1_C7C6_1,312.0,8.56,22.67,45.34,900.0,229.2,209.0
E1_C7D7_0,108.0,12.11,1.31,2.62,900.0,279.2,259.0
E1_C7D7_1,36.0,12.05,0.42,0.8399999999999999,900.0,279.2,259.0
E1_C8B8_0,108.0,11.78,1.35,2.7,900.0,279.2,259.0
E1_C8B8_1,132.0,9.63,5.39,10.779999999999998,900.0,279.2,259.0
E1_C8C7_0,264.0,10.2,8.57,17.14,900.0,229.2,209.0
E1_C8C7_1,264.0,10.02,7.57,15.14,900.0,229.2,209.0
E1_C9B9_0,108.0,11.74,1.36,2.72,900.0,279.2,259.0
E1_C9B9_1,132.0,12.73,1.46,2.92,900.0,279.2,259.0
E1_C9C10_0,156.0,11.41,2.11,4.22,900.0,229.2,209.0
E1_C9C10_1,12.0,13.92,0.12,0.24,900.0,229.2,209.0
E1_C9C8_0,264.0,10.4,7.09,14.18,900.0,229.2,209.0
E1_C9C8_1,192.0,9.02,4.55,9.1,900.0,229.2,209.0
E1_C9D9_0,132.0,12.06,1.61,3.22,900.0,279.2,259.0
E1_C9D9_1,72.0,9.48,1.16,2.32,900.0,279.2,259.0
E1_D0C0_0,204.0,11.68,3.01,6.02,900.0,279.2,259.0
E1_D0C0_1,36.0,10.68,0.53,1.06,900.0,279.2,259.0
E1_D0D1_0,72.0,11.35,1.0,2.0,900.0,229.2,209.0
E1_D0D1_1,36.0,10.1,1.17,2.34,900.0,229.2,209.0
E1_D0E0_0,132.0,11.84,1.75,3.5,900.0,279.2,259.0
E1_D0E0_1,108.0,11.21,2.32,4.64,900.0,279.2,259.0
E1_D0bottom3_0,24.0,15.65,0.21,0.41999999999999993,900.0,189.6,170.0
E1_D0bottom3_1,36.0,13.43,0.37,0.74,900.0,189.6,170.0
E1_D10C10_0,156.0,11.38,2.13,4.26,900.0,279.2,259.0
E1_D10C10_1,192.0,9.06,7.11,14.220000000000002,900.0,279.2,259.0
E1_D10D11_0,132.0,11.13,1.73,3.46,900.0,229.2,209.0
E1_D10D11_1,156.0,10.23,4.65,9.3,900.0,229.2,209.0
E1_D10D9_0,180.0,10.29,3.25,6.5,900.0,229.2,209.0
E1_D10D9_1,120.0,11.07,1.64,3.2799999999999994,900.0,229.2,209.0
E1_D11D10_0,60.0,11.84,0.71,1.42,900.0,229.2,209.0
E1_D11D10_1,132.0,8.38,5.48,10.96,900.0,229.2,209.0
E1_D11top3_0,24.0,13.71,0.24,0.48,900.0,189.6,170.0
E1_D11top3_1,12.0,11.09,0.15,0.3,900.0,189.6,170.0
E1_D1C1_0,168.0,12.08,2.09,4.18,900.0,279.2,259.0
E1_D1C1_1,48.0,11.7,0.57,1.14,900.0,279.2,259.0
E1_D1D0_0,120.0,11.43,1.59,3.18,900.0,229.2,209.0
E1_D1D0_1,84.0,11.55,1.08,2.16,900.0,229.2,209.0
E1_D1D2_0,96.0,11.02,1.43,2.86,900.0,229.2,209.0
E1_D1D2_1,144.0,12.91,1.57,3.14,900.0,229.2,209.0
E1_D1E1_0,144.0,10.43,2.24,4.48,900.0,279.2,259.0
E1_D1E1_1,168.0,9.26,12.22,24.439999999999998,900.0,279.2,259.0
E1_D2C2_0,60.0,12.86,0.65,1.3,900.0,279.2,259.0
E1_D2C2_1,108.0,9.72,2.09,4.18,900.0,279.2,259.0
E1_D2D1_0,216.0,12.45,2.69,5.380000000000001,900.0,229.2,209.0
E1_D2D1_1,120.0,12.86,1.38,2.76,900.0,229.2,209.0
E1_D2D3_0,216.0,11.57,3.24,6.48,900.0,229.2,209.0
E1_D2D3_1,156.0,8.37,9.1,18.2,900.0,229.2,209.0
E1_D3D2_0,216.0,9.82,11.68,23.36,900.0,229.2,209.0
E1_D3D2_1,228.0,8.58,7.18,14.36,900.0,229.2,209.0
E1_D3D4_0,240.0,10.17,4.07,8.14,900.0,229.2,209.0
E1_D3D4_1,192.0,11.31,3.04,6.08,900.0,229.2,209.0
E1_D3E3_0,216.0,9.61,10.4,20.8,900.0,279.2,259.0
E1_D3E3_1,276.0,10.31,7.87,15.74,900.0,279.2,259.0
E1_D4C4_0,168.0,11.28,2.44,4.88,900.0,279.2,259.0
E1_D4C4_1,120.0,10.9,3.0,6.0,900.0,279.2,259.0
E1_D4D3_0,240.0,10.34,9.16,18.32,900.0,229.2,209.0
E1_D4D3_1,216.0,12.39,8.2,16.4,900.0,229.2,209.0
E1_D4D5_0,276.0,8.31,12.8,25.6,900.0,229.2,209.0
E1_D4D5_1,144.0,8.05,14.5,29.0,900.0,229.2,209.0
E1_D4E4_0,252.0,10.93,7.12,14.239999999999998,900.0,279.2,259.0
E1_D4E4_1,108.0,8.6,8.83,17.66,900.0,279.2,259.0
E1_D5C5_0,276.0,10.11,8.25,16.5,900.0,279.2,259.0
E1_D5C5_1,228.0,8.59,8.5,17.0,900.0,279.2,259.0
E1_D5E5_0,144.0,11.36,1.98,3.96,900.0,279.2,259.0
E1_D5E5_1,96.0,11.13,1.33,2.66,900.0,279.2,259.0
E1_D6C6_0,84.0,9.92,4.85,9.7,900.0,279.2,259.0
E1_D6C6_1,120.0,9.53,2.21,4.42,900.0,279.2,259.0
E1_D6D5_0,276.0,9.43,5.63,11.259999999999998,900.0,229.2,209.0
E1_D6D5_1,120.0,8.74,3.14,6.28,900.0,229.2,209.0
E1_D6D7_0,300.0,11.03,6.74,13.48,900.0,229.2,209.0
E1_D6D7_1,120.0,10.81,2.12,4.24,900.0,229.2,209.0
E1_D6E6_0,300.0,10.98,6.79,13.580000000000002,900.0,279.2,259.0
E1_D6E6_1,192.0,9.98,3.83,7.66,900.0,279.2,259.0
E1_D7C7_0,120.0,12.37,1.38,2.76,900.0,279.2,259.0
E1_D7C7_1,108.0,11.71,1.38,2.76,900.0,279.2,259.0
E1_D7D6_0,144.0,12.34,1.7,3.3999999999999995,900.0,229.2,209.0
E1_D7D6_1,192.0,11.61,2.5,5.0,900.0,229.2,209.0
E1_D7D8_0,324.0,10.23,11.45,22.9,900.0,229.2,209.0
E1_D7D8_1,192.0,10.79,4.59,9.18,900.0,229.2,209.0
E1_D7E7_0,144.0,9.96,5.05,10.1,900.0,279.2,259.0
E1_D7E7_1,72.0,11.18,0.98,1.96,900.0,279.2,259.0
E1_D8D7_0,144.0,10.53,2.73,5.460000000000001,900.0,229.2,209.0
E1_D8D7_1,168.0,9.72,4.96,9.92,900.0,229.2,209.0
E1_D8E8_0,204.0,10.67,3.74,7.48,900.0,279.2,259.0
E1_D8E8_1,228.0,10.35,5.59,11.18,900.0,279.2,259.0
E1_D9C9_0,144.0,12.15,1.78,3.5599999999999996,900.0,279.2,259.0
E1_D9C9_1,168.0,11.29,2.23,4.46,900.0,279.2,259.0
E1_E0D0_0,108.0,13.12,1.17,2.34,900.0,279.2,259.0
E1_E0D0_1,36.0,12.65,0.4,0.8,900.0,279.2,259.0
E1_E0E1_0,120.0,9.4,3.45,6.9,900.0,229.2,209.0
E1_E0E1_1,60.0,11.3,0.81,1.62,900.0,229.2,209.0
E1_E0F0_0,132.0,11.73,1.72,3.4399999999999995,900.0,279.2,259.0
E1_E0F0_1,120.0,13.3,1.29,2.58,900.0,279.2,259.0
E1_E0bottom4_0,24.0,14.15,0.24,0.48,900.0,189.6,170.0
E1_E0bottom4_1,12.0,14.74,0.11,0.21999999999999997,900.0,189.6,170.0
E1_E10D10_0,180.0,9.23,8.32,16.64,900.0,279.2,259.0
E1_E10D10_1,168.0,9.17,13.11,26.22,900.0,279.2,259.0
E1_E10E11_0,144.0,10.63,2.5,5.0,900.0,229.2,209.0
E1_E10E11_1,84.0,12.59,0.95,1.9,900.0,229.2,209.0
E1_E10E9_0,228.0,9.62,5.85,11.7,900.0,229.2,209.0
E1_E10E9_1,180.0,6.84,8.44,16.88,900.0,229.2,209.0
E1_E10F10_0,204.0,11.75,3.16,6.32,900.0,279.2,259.0
E1_E10F10_1,72.0,12.94,0.79,1.58,900.0,279.2,259.0
E1_E11F11_0,216.0,12.25,2.62,5.24,900.0,279.2,259.0
E1_E11F11_1,84.0,12.35,0.95,1.9,900.0,279.2,259.0
E1_E11top4_0,12.0,14.86,0.11,0.21999999999999997,900.0,189.6,170.0
E1_E11top4_1,12.0,12.7,0.13,0.26,900.0,189.6,170.0
E1_E1D1_0,192.0,11.37,2.61,5.220000000000001,900.0,279.2,259.0
E1_E1D1_1,48.0,12.79,0.52,1.04,900.0,279.2,259.0
E1_E1E0_0,108.0,13.15,1.15,2.3,900.0,229.2,209.0
E1_E1E0_1,72.0,11.36,0.95,1.9,900.0,229.2,209.0
E1_E1E2_0,192.0,11.73,2.5,5.0,900.0,229.2,209.0
E1_E1E2_1,108.0,10.61,3.11,6.22,900.0,229.2,209.0
E1_E1F1_0,156.0,10.69,2.65,5.300000000000001,900.0,279.2,259.0
E1_E1F1_1,108.0,8.24,6.51,13.02,900.0,279.2,259.0
E1_E2D2_0,156.0,10.37,2.76,5.52,900.0,279.2,259.0
E1_E2D2_1,72.0,13.37,0.76,1.52,900.0,279.2,259.0
E1_E2E1_0,120.0,12.78,1.32,2.64,900.0,229.2,209.0
E1_E2E1_1,108.0,11.33,1.44,2.88,900.0,229.2,209.0
E1_E2E3_0,300.0,9.91,13.16,26.32,900.0,229.2,209.0
E1_E2E3_1,156.0,9.0,8.64,17.28,900.0,229.2,209.0
E1_E2F2_0,120.0,10.57,1.77,3.54,900.0,279.2,259.0
E1_E2F2_1,96.0,11.43,1.25,2.5,900.0,279.2,259.0
E1_E3D3_0,348.0,7.58,40.23,80.46,900.0,279.2,259.0
E1_E3D3_1,216.0,6.85,28.99,57.980000000000004,900.0,279.2,259.0
E1_E3E2_0,132.0,10.95,2.35,4.7,900.0,229.2,209.0
E1_E3E2_1,96.0,11.11,1.3,2.6,900.0,229.2,209.0
E1_E3E4_0,336.0,11.2,13.18,26.36,900.0,229.2,209.0
E1_E3E4_1,276.0,9.33,10.89,21.78,900.0,229.2,209.0
E1_E3F3_0,228.0,9.99,8.35,16.7,900.0,279.2,259.0
E1_E3F3_1,180.0,10.23,9.54,19.08,900.0,279.2,259.0
E1_E4D4_0,108.0,12.66,1.27,2.54,900.0,279.2,259.0
E1_E4D4_1,108.0,12.05,1.34,2.68,900.0,279.2,259.0
E1_E4E5_0,420.0,8.58,40.97,81.94,900.0,229.2,209.0
E1_E4E5_1,192.0,7.37,38.95,77.9,900.0,229.2,209.0
E1_E4F4_0,168.0,11.0,7.46,14.92,900.0,279.2,259.0
E1_E4F4_1,120.0,11.59,1.6,3.2,900.0,279.2,259.0
E1_E5E4_0,192.0,11.15,13.74,27.480000000000004,900.0,229.2,209.0
E1_E5E4_1,156.0,10.94,9.33,18.66,900.0,229.2,209.0
E1_E5F5_0,348.0,10.1,17.9,35.8,900.0,279.2,259.0
E1_E5F5_1,204.0,8.48,18.28,36.56,900.0,279.2,259.0
E1_E6D6_0,132.0,10.82,10.55,21.1,900.0,279.2,259.0
E1_E6D6_1,108.0,8.94,8.38,16.76,900.0,279.2,259.0
E1_E6E7_0,228.0,11.29,11.21,22.42,900.0,229.2,209.0
E1_E6E7_1,204.0,11.58,2.7,5.4,900.0,229.2,209.0
E1_E6F6_0,288.0,10.17,9.94,19.88,900.0,279.2,259.0
E1_E6F6_1,192.0,9.97,5.61,11.22,900.0,279.2,259.0
E1_E7D7_0,168.0,11.17,3.13,6.26,900.0,279.2,259.0
E1_E7D7_1,180.0,11.06,2.77,5.540000000000001,900.0,279.2,259.0
E1_E7E6_0,444.0,9.17,29.23,58.46,900.0,229.2,209.0
E1_E7E6_1,372.0,9.62,27.82,55.64,900.0,229.2,209.0
E1_E7E8_0,168.0,12.19,6.87,13.740000000000002,900.0,229.2,209.0
E1_E7E8_1,60.0,11.09,5.58,11.16,900.0,229.2,209.0
